iter	Passed	Remaining
415	4046	817
416	4056	807
417	4064	797
418	4073	787
419	4081	777
420	4090	767
421	4100	757
422	4109	747
423	4117	738
424	4125	728
425	4133	718
426	4143	708
427	4151	698
428	4160	688
429	4168	678
430	4176	668
431	4185	658
432	4193	648
433	4203	639
434	4212	629
435	4220	619
436	4229	609
437	4240	600
438	4250	590
439	4261	581
440	4272	571
441	4281	561
442	4289	551
443	4298	542
444	4307	532
445	4316	522
446	4325	512
447	4333	503
448	4342	493
449	4351	483
450	4359	473
451	4368	463
452	4377	454
453	4385	444
454	4394	434
455	4402	424
456	4410	415
457	4419	405
458	4427	395
459	4436	385
460	4445	376
461	4454	366
462	4462	356
463	4471	346
464	4480	337
465	4488	327
466	4499	317
467	4511	308
468	4525	299
469	4535	289
470	4544	279
471	4553	270
472	4562	260
473	4570	250
474	4579	241
475	4588	231
476	4597	221
477	4606	212
478	4614	202
479	4623	192
480	4632	182
481	4642	173
482	4650	163
483	4658	154
484	4667	144
485	4675	134
486	4684	125
487	4692	115
488	4701	105
489	4709	96
490	4720	86
491	4731	76
492	4742	67
493	4754	57
494	4763	48
495	4773	38
496	4781	28
497	4790	19
498	4801	9
499	4814	0
